
 1  owl:Thing 
 1.1  Activity  
 1.1.1  Game  
 1.1.1.1  BoardGame  
 1.1.1.2  CardGame  
 1.1.2  Sales  
 1.1.3  Sport  
 1.1.3.1  Athletics  
 1.1.3.2  Boxing  
 1.1.3.2.1  BoxingCategory  
 1.1.3.2.2  BoxingStyle  
 1.1.3.3  HorseRiding  
 1.1.3.4  TeamSport  
 1.1.3.4.1  Soccer  
 1.2  Agent  
 1.2.1  Deity  
 1.2.2  Employer  
 1.2.3  Family  
 1.2.3.1  NobleFamily  
 1.2.4  Organisation  
 1.2.4.1  Broadcaster  
 1.2.4.1.1  BroadcastNetwork  
 1.2.4.1.2  RadioStation  
 1.2.4.1.3  TelevisionStation  
 1.2.4.2  Company  
 1.2.4.2.1  Airline  
 1.2.4.2.2  Bank  
 1.2.4.2.3  Brewery  
 1.2.4.2.4  BusCompany  
 1.2.4.2.5  Caterer  
 1.2.4.2.6  LawFirm  
 1.2.4.2.7  Publisher  
 1.2.4.2.8  RecordLabel  
 1.2.4.2.9  Winery  
 1.2.4.3  EducationalInstitution  
 1.2.4.3.1  College  
 1.2.4.3.2  Library  
 1.2.4.3.3  School  
 1.2.4.3.4  University  
 1.2.4.4  EmployersOrganisation  
 1.2.4.5  GeopoliticalOrganisation  
 1.2.4.6  GovernmentAgency  
 1.2.4.6.1  GovernmentCabinet  
 1.2.4.7  Group  
 1.2.4.7.1  Band  
 1.2.4.7.2  ComedyGroup  
 1.2.4.8  InternationalOrganisation  
 1.2.4.9  Legislature  
 1.2.4.10  MilitaryUnit  
 1.2.4.11  Non-ProfitOrganisation  
 1.2.4.11.1  RecordOffice  
 1.2.4.12  Parliament  
 1.2.4.13  PoliticalParty  
 1.2.4.14  PublicTransitSystem  
 1.2.4.15  ReligiousOrganisation  
 1.2.4.15.1  ClericalOrder  
 1.2.4.16  SambaSchool  
 1.2.4.17  SportsClub  
 1.2.4.17.1  HockeyClub  
 1.2.4.18  SportsLeague  
 1.2.4.18.1  AmericanFootballLeague  
 1.2.4.18.2  AustralianFootballLeague  
 1.2.4.18.3  AutoRacingLeague  
 1.2.4.18.4  BaseballLeague  
 1.2.4.18.5  BasketballLeague  
 1.2.4.18.6  BowlingLeague  
 1.2.4.18.7  BoxingLeague  
